술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
新白州 迷你酒,890.0,950.0,47.9489,42675,109057,90881,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/新白州-迷你酒-the-hakushu-mini-size,할인중
山崎 12年 迷你酒,790.0,950.0,47.9489,37880,96803,80669,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎-12年-迷你酒-the-yamazaki-12y-mini-size,할인중
格蘭多納 31年單桶原酒 1990 #7423,39900.0,45000.0,47.9489,1913161,4889121,4074268,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-31年單桶原酒-1990-7423-glendronach-cask-bottling-1990-7423-31y,할인중
格蘭多納 29年單桶原酒 1991 #7708,29900.0,35000.0,47.9489,1433672,3663777,3053148,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-29年單桶原酒-1991-7708-glendronach-cask-bottling-1991-7708-29y,할인중
格蘭多納 GRANDEUR系列 29年 BATCH 12,37800.0,42000.0,47.9489,1812468,4631798,3859832,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/m13708,할인중
神偷 小麥小批次波本威士忌 (白標),880.0,1000.0,47.9489,42195,107830,89858,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/神偷-小麥小批次波本威士忌-白標-larceny-small-batch-wheated-92-proof-kentucky-straight-bourbon-whiskey,할인중
鷹睿 10年波本威士忌,1360.0,1600.0,47.9489,65211,166648,138873,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/飛鷹-10年波本威士忌-eagle-rare-kentucky-straight-bourbon-whiskey,할인중
京都威士忌 西陣織 黑帶,1800.0,2000.0,47.9489,86308,220562,183802,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/京都威士忌-西陣織-黑帶-the-kyoto-blended-whisky,할인중
坦杜 2009年歐洲橡木雪莉單桶 NO.4536 台灣限定版,10800.0,,47.9489,517848,1323371,1102809,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-2009年歐洲橡木雪莉桶-no-4536-台灣限定版-tamdhu-first-fill-european-oak-oloroso-sherry-butt-single-cask-vintage-2009-no-4536-taiwan-exclusive,
坦杜 2008年美洲橡木雪莉單桶 NO.5409 台灣限定版,9800.0,10800.0,47.9489,469899,1200836,1000697,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-2008年美洲橡木雪莉單桶-no-5409-台灣限定版-tamdhu-first-fill-american-oak-oloroso-sherry-butt-single-cask-vintage-2008-no-5409-taiwan-exclusive,할인중
紅馥 15年 單一蒸餾器 愛爾蘭威士忌,2280.0,2500.0,47.9489,109323,279377,232814,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/紅馥-15年-單一蒸餾器-愛爾蘭威士忌-redbreast-15y-single-pot-still-irish-whiskey,할인중
大摩 築光大師系列 NO.2 2024限定版,8990.0,10000.0,47.9489,431061,1101585,917988,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/大摩-築光大師系列no-2-2024限定版-the-dalmore-luminary-no-2-15y-2024-edition,할인중
山崎 職魂之作 2024,118000.0,135000.0,47.9489,5657970,14459055,12049213,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/山崎-職魂之作-2024-the-yamazaki-tsukuriwake-2024,할인중
費特肯 貳號密藏系列 Batch 3,3300.0,3600.0,47.9489,158231,404362,336969,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/費特肯-貳號密藏系列-batch-3-fettercairn-warehouse-2-batch-3,할인중
費特肯 貳號密藏系列 Batch 2,3300.0,3500.0,47.9489,158231,404362,336969,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/費特肯-貳號密藏系列-batch-2-單一麥芽威士忌-fettercairn-warehouse-2-batch-2-highland-single-malt-scotch-whisky,할인중
波摩 22年 Aston Martin 大師鉅作系列 第三版,18000.0,23000.0,47.9489,863080,2205618,1838015,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/波摩-22年-大師鉅作系列-aston-martin聯名款-第三版-bowmore-x-aston-martin-22y-masters-selection-edition-3,할인중
慕赫 15年 權力遊戲特別版 三眼烏鴉,4500.0,4800.0,47.9489,215770,551405,459504,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/慕赫2-81-15年權力遊戲特別版-mortlach-15y-game-of-thrones,할인중
格蘭利威 15年雪莉桶原酒 2024年限定版,5880.0,6500.0,47.9489,281940,720503,600419,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭利威-15年雪莉桶原酒-2024年限定版-glenlivet-15y-sherry-cask-matured-cask-strength-taiwan-exclusive-2024-limited-edition,할인중
泰斯卡 2022酒廠限定版,1350.0,1740.0,47.9489,64731,165421,137851,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/泰斯卡-2022酒廠限定版-talisker-the-distillers-edition-2022,할인중
