위스키명,브랜드,표시가_USD,마일리지할인율_%,할인가_USD,정상가_USD,할인율_%,누적판매,리뷰수,평점,재고,구매가능,소분류,상품코드,SKU,상품URL
말피 진 레몬 1000ml,몽키 47,24.5,50.0,24.5,49.0,50.0,9,0,0.0,6,Y,1226:스피릿,5769828,289831000008,https://www.shilladfs.com/estore/kr/ko/p/5769828
말피 진 오렌지 1000ml,몽키 47,24.5,50.0,24.5,49.0,50.0,4,0,0.0,6,Y,1226:스피릿,5769834,289831000007,https://www.shilladfs.com/estore/kr/ko/p/5769834
말피 진 오리지날 1000ml,몽키 47,24.99,49.0,24.99,49.0,49.0,2,0,0.0,6,Y,1226:스피릿,5769833,289831000004,https://www.shilladfs.com/estore/kr/ko/p/5769833
키노비 교토 드라이 진 750ml,몽키 47,32.76,48.0,32.76,63.0,48.0,5,0,0.0,6,Y,1226:스피릿,5769825,289831000003,https://www.shilladfs.com/estore/kr/ko/p/5769825
키노비 세이 교토 드라이 진 700ml,몽키 47,44.57399999999999,35.0,65.55,69.0,5.0,4,0,0.0,6,Y,1226:스피릿,5769832,289831000002,https://www.shilladfs.com/estore/kr/ko/p/5769832
키노비 티 교토 드라이 진 700ml,몽키 47,37.23,49.0,37.23,73.0,49.0,8,0,0.0,6,Y,1226:스피릿,5769831,289831000001,https://www.shilladfs.com/estore/kr/ko/p/5769831
카미키 사쿠라 500ml,카미키,42.84,49.0,42.84,84.0,49.0,15,0,0.0,6,Y,1211:블렌디드 위스키,5696485,254631000027,https://www.shilladfs.com/estore/kr/ko/p/5696485
카미키 인텐스 500ml,카미키,49.056,42.0,67.2,84.0,20.0,4,0,0.0,6,Y,1211:블렌디드 위스키,5696486,254631000026,https://www.shilladfs.com/estore/kr/ko/p/5696486
Junpin Xijiu 100ml,시주,19.8,40.0,19.8,33.0,40.0,26,0,0.0,6,Y,1216:중국술,5770698,284531000009,https://www.shilladfs.com/estore/kr/ko/p/5770698
Jinzuan Xijiu 500ml,시주,26.9325,40.0,42.75,45.0,5.0,16,1,10.0,0,N,1216:중국술,5770697,284531000008,https://www.shilladfs.com/estore/kr/ko/p/5770697
Xijiu Jiao Cang 1988 500ml,시주,55.6605,40.0,88.35,93.0,5.0,34,1,10.0,1,Y,1216:중국술,5770696,284531000007,https://www.shilladfs.com/estore/kr/ko/p/5770696
사일런트풀 메디테라니언 1000ml,발베니,38.28,42.0,38.28,66.0,42.0,2,0,0.0,6,Y,1226:스피릿,5805564,112231000042,https://www.shilladfs.com/estore/kr/ko/p/5805564
REMY MAR LIQU LXIII 50ml,루이13,900.0,0.0,900.0,900.0,0.0,17,0,0.0,0,N,1213:꼬냑,5804157,085131000072,https://www.shilladfs.com/estore/kr/ko/p/5804157
폴리냑 EIFFEL TOWER VSOP 500ml,폴리냑,33.93000000000001,48.0,58.5,65.0,10.0,14,0,0.0,0,N,1213:꼬냑,5801494,109431000010,https://www.shilladfs.com/estore/kr/ko/p/5801494
피에르 샤니에 상세르 블랑 2023 750ml,와인나라,33.7725,25.0,42.75,45.0,5.0,12,0,0.0,0,N,1221:와인/샴페인,5789358,115431000206,https://www.shilladfs.com/estore/kr/ko/p/5789358
"니콜라스 푸이야트, 그랑 크뤼 블랑 드 누아 2015 750ml",니콜라스 푸이야트,57.330000000000005,42.0,88.2,98.0,10.0,40,0,0.0,0,N,1221:와인/샴페인,5663001,273531000007,https://www.shilladfs.com/estore/kr/ko/p/5663001
"니콜라스 푸이야트, 그랑 크뤼 블랑 드 블랑 2015 750ml",니콜라스 푸이야트,57.330000000000005,42.0,88.2,98.0,10.0,38,0,0.0,0,N,1221:와인/샴페인,5663002,273531000006,https://www.shilladfs.com/estore/kr/ko/p/5663002
The Deacon 1L,발렌타인,27.93,43.0,27.93,49.0,43.0,2,0,0.0,6,Y,1211:블렌디드 위스키,5796123,046131000063,https://www.shilladfs.com/estore/kr/ko/p/5796123
"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스,34.04,54.0,34.04,74.0,54.0,57,0,0.0,6,Y,1211:블렌디드 위스키,5762840,258231000025,https://www.shilladfs.com/estore/kr/ko/p/5762840
엔젤스 엔비 스몰 700ml,듀어스,61.74,37.0,61.74,98.0,37.0,27,0,0.0,6,Y,1211:블렌디드 위스키,5791018,113531000092,https://www.shilladfs.com/estore/kr/ko/p/5791018
엔젤스 엔비 플래그십 700ml,듀어스,30.87,37.0,30.87,49.0,37.0,23,0,0.0,6,Y,1211:블렌디드 위스키,5791017,113531000091,https://www.shilladfs.com/estore/kr/ko/p/5791017
로얄브라클라 24년 익셉셔널 캐스크 CS (올로로소) 700ml,로얄브라클라,629.3,30.0,629.3,899.0,30.0,162,0,0.0,0,N,1220:싱글몰트 위스키,5791016,113531000088,https://www.shilladfs.com/estore/kr/ko/p/5791016
프라팡 VSOP 700ml,프라팡,48.0,52.0,48.0,100.0,52.0,6,0,0.0,6,Y,1213:꼬냑,5752515,268331000071,https://www.shilladfs.com/estore/kr/ko/p/5752515
주귀주 내참 500ml,주귀주,83.79,40.0,133.0,140.0,5.0,25,2,7.0,6,Y,1216:중국술,5782015,067631000076,https://www.shilladfs.com/estore/kr/ko/p/5782015
주귀주 홍단 20 500ml,주귀주,39.501000000000005,40.0,62.7,66.0,5.0,14,0,0.0,6,Y,1216:중국술,5782014,067631000075,https://www.shilladfs.com/estore/kr/ko/p/5782014
"잉크 그레이드, 하웰 마운틴 카베르네 소비뇽 2018 750ml",잉크 그레이드,118.807,30.0,160.55,169.0,5.0,10,0,0.0,0,N,1221:와인/샴페인,5705515,288831000007,https://www.shilladfs.com/estore/kr/ko/p/5705515
"잉크 그레이드, 안도솔 레드 블렌드 2018 750ml",잉크 그레이드,68.191,30.0,92.15,97.0,5.0,13,0,0.0,0,N,1221:와인/샴페인,5705514,288831000006,https://www.shilladfs.com/estore/kr/ko/p/5705514
"브렌델, 리저브 카베르네 소비뇽 2019 750ml",브렌델,29.526,30.0,39.9,42.0,5.0,9,0,0.0,0,N,1221:와인/샴페인,5705513,288831000005,https://www.shilladfs.com/estore/kr/ko/p/5705513
"하이츠 셀라, 마르타스 빈야드 카베르네 소비뇽 2018 750ml",하이츠 셀라,258.704,30.0,349.6,368.0,5.0,74,0,0.0,6,Y,1221:와인/샴페인,5705512,288831000004,https://www.shilladfs.com/estore/kr/ko/p/5705512
"하이츠 셀라, 로트 C-91 카베르네 소비뇽 2019 750ml",하이츠 셀라,98.42,30.0,133.0,140.0,5.0,27,0,0.0,0,N,1221:와인/샴페인,5705511,288831000003,https://www.shilladfs.com/estore/kr/ko/p/5705511
"하이츠 셀라, 쿼츠 크릭 빈야드 샤르도네 2021 750ml",하이츠 셀라,74.518,30.0,100.7,106.0,5.0,30,0,0.0,0,N,1221:와인/샴페인,5705510,288831000002,https://www.shilladfs.com/estore/kr/ko/p/5705510
"하이츠 셀라, 트레일사이드 빈야드 카베르네 소비뇽 2018 750ml",하이츠 셀라,151.145,30.0,204.25,215.0,5.0,27,0,0.0,0,N,1221:와인/샴페인,5705508,288831000001,https://www.shilladfs.com/estore/kr/ko/p/5705508
아드벡 코리브레칸 700ml,아드벡,,,83.25,111.0,25.0,234,0,0.0,0,N,1220:싱글몰트 위스키,5786504,108631000057,https://www.shilladfs.com/estore/kr/ko/p/5786504
모엣 & 샹동 그랑 빈티지 750ml,모엣 샹동,,,65.25,87.0,25.0,68,0,0.0,0,N,1221:와인/샴페인,5786506,108931000123,https://www.shilladfs.com/estore/kr/ko/p/5786506
모엣 & 샹동 리저브 임페리얼 750ml,모엣 샹동,,,42.0,56.0,25.0,221,2,9.0,0,N,1221:와인/샴페인,5786505,108931000116,https://www.shilladfs.com/estore/kr/ko/p/5786505
헤네시 XO 1000ml,헤네시,,,264.0,330.0,20.0,301,0,0.0,0,N,1213:꼬냑,5786502,086931000116,https://www.shilladfs.com/estore/kr/ko/p/5786502
CINCORO TEQUILA 싱코로 레포사도 750ml,싱코로,92.568,20.0,110.2,116.0,5.0,24,0,0.0,2,Y,1226:스피릿,5746937,290031000001,https://www.shilladfs.com/estore/kr/ko/p/5746937
산토리 토키 블랙 1000ml,산토리,27.17,51.0,52.25,55.0,5.0,36,0,0.0,0,N,1211:블렌디드 위스키,5746023,114131000045,https://www.shilladfs.com/estore/kr/ko/p/5746023
타카초 준마이 다이긴조 720ml,조야,21.317999999999994,37.0,32.3,34.0,5.0,39,0,0.0,6,Y,1227:기타 주류,5706060,112431000012,https://www.shilladfs.com/estore/kr/ko/p/5706060
더 글렌그란트 30년 700ml,더 글렌그란트,1800.0,10.0,1800.0,2000.0,10.0,15,0,0.0,0,N,1220:싱글몰트 위스키,5783250,257131000010,https://www.shilladfs.com/estore/kr/ko/p/5783250
잭다니엘 본디드 라이 1000ml,잭다니엘,26.448000000000004,45.0,45.6,48.0,5.0,24,0,0.0,6,Y,1211:블렌디드 위스키,5712651,114931000067,https://www.shilladfs.com/estore/kr/ko/p/5712651
레드브레스트 12년 700ml,제임슨,47.424,26.0,60.8,64.0,5.0,40,0,0.0,6,Y,1211:블렌디드 위스키,5769830,110531000009,https://www.shilladfs.com/estore/kr/ko/p/5769830
레드브레스트 15년 700ml,제임슨,75.58200000000001,26.0,96.9,102.0,5.0,68,0,0.0,1,Y,1211:블렌디드 위스키,5769829,110531000007,https://www.shilladfs.com/estore/kr/ko/p/5769829
화요 광복80주년에디션 750ml,케이전통주,22.344,47.0,39.9,42.0,5.0,46,2,10.0,0,N,1224:한국술,5750623,955331000024,https://www.shilladfs.com/estore/kr/ko/p/5750623
DALMORE LIQU Fettercairn 50YO 70cl,패터캐른,26235.0,10.0,26235.0,29150.0,10.0,1,0,0.0,1,Y,1220:싱글몰트 위스키,5219287,114431000090,https://www.shilladfs.com/estore/kr/ko/p/5219287
기원 달 700ml,기원 위스키,36.821999999999996,35.0,54.15,57.0,5.0,73,0,0.0,6,Y,1220:싱글몰트 위스키,5757509,922031000007,https://www.shilladfs.com/estore/kr/ko/p/5757509
기원 해 700ml,기원 위스키,41.343999999999994,35.0,60.8,64.0,5.0,83,0,0.0,6,Y,1220:싱글몰트 위스키,5757507,922031000006,https://www.shilladfs.com/estore/kr/ko/p/5757507
고든앤맥패일 프라이빗컬렉션 링크우드 1981 40년 700ml,고든 앤 맥패일,2009.15,45.0,2009.15,3653.0,45.0,24,0,0.0,1,Y,1220:싱글몰트 위스키,5747995,115431000205,https://www.shilladfs.com/estore/kr/ko/p/5747995
고든앤맥패일 코노세어초이스 스트라스아일라 1985 38년 700ml,고든 앤 맥패일,1943.15,45.0,1943.15,3533.0,45.0,12,0,0.0,1,Y,1220:싱글몰트 위스키,5747994,115431000204,https://www.shilladfs.com/estore/kr/ko/p/5747994
고든앤맥패일 프라이빗컬렉션 스페이번 1977 44년 700ml,고든 앤 맥패일,2773.65,45.0,2773.65,5043.0,45.0,8,0,0.0,0,N,1220:싱글몰트 위스키,5747993,115431000203,https://www.shilladfs.com/estore/kr/ko/p/5747993
고든앤맥패일 코노세어초이스 글렌로지 1988 32년 700ml,고든 앤 맥패일,1434.4,45.0,1434.4,2608.0,45.0,10,0,0.0,1,Y,1220:싱글몰트 위스키,5747992,115431000202,https://www.shilladfs.com/estore/kr/ko/p/5747992
고든앤맥패일 코노세어초이스 하이랜드파크 1987 35년 700ml,고든 앤 맥패일,1437.15,45.0,1437.15,2613.0,45.0,24,0,0.0,1,Y,1220:싱글몰트 위스키,5747991,115431000201,https://www.shilladfs.com/estore/kr/ko/p/5747991
벤리악 40년 700ml,벤리악,3038.0,38.0,3038.0,4900.0,38.0,4,0,0.0,5,Y,1220:싱글몰트 위스키,5757662,114931000051,https://www.shilladfs.com/estore/kr/ko/p/5757662
GF LIQU Glenfiddich 50 Time Series 700ml,글렌피딕,37097.5,29.0,37097.5,52250.0,29.0,11,0,0.0,0,N,1220:싱글몰트 위스키,5188730,082331000050,https://www.shilladfs.com/estore/kr/ko/p/5188730
GF LIQU Glenfiddich 40 700ml,글렌피딕,2907.58,47.0,2907.58,5486.0,47.0,25,0,0.0,1,Y,1220:싱글몰트 위스키,5757402,082331000047,https://www.shilladfs.com/estore/kr/ko/p/5757402
CINCORO TEQUILA 싱코로 아네호 750ml,싱코로,122.094,20.0,145.35,153.0,5.0,48,0,0.0,1,Y,1226:스피릿,5746938,290031000002,https://www.shilladfs.com/estore/kr/ko/p/5746938
가무치43 375ml,케이전통주,14.0,50.0,14.0,28.0,50.0,16,1,8.0,6,Y,1224:한국술,5717215,955331000019,https://www.shilladfs.com/estore/kr/ko/p/5717215
오미로제 연 750ml,케이전통주,20.216,47.0,36.1,38.0,5.0,4,0,0.0,6,Y,1224:한국술,5748212,955331000018,https://www.shilladfs.com/estore/kr/ko/p/5748212
오미로제 결 750ml,케이전통주,54.0,50.0,54.0,108.0,50.0,10,0,0.0,6,Y,1224:한국술,5717424,955331000017,https://www.shilladfs.com/estore/kr/ko/p/5717424
고운달43도 500ml,케이전통주,75.54400000000001,47.0,134.9,142.0,5.0,33,0,0.0,6,Y,1224:한국술,5717214,955331000014,https://www.shilladfs.com/estore/kr/ko/p/5717214
고운달43도 250ml,케이전통주,46.816,47.0,83.6,88.0,5.0,34,0,0.0,6,Y,1224:한국술,5717422,955331000015,https://www.shilladfs.com/estore/kr/ko/p/5717422
